City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.87,113.63,62.6,77,0,14.99,clear sky
1,Yar-Sale,RU,66.83,70.83,50.09,93,26,12.21,scattered clouds
2,Mataura,NZ,-46.19,168.86,44.01,94,12,1.99,few clouds
3,Looc,PH,12.26,121.99,81.88,79,100,6.33,overcast clouds
4,Port Elizabeth,ZA,-33.92,25.57,60.8,77,97,5.82,overcast clouds
5,Pimentel,PE,-6.84,-79.93,65.28,72,0,14.99,clear sky
6,Cidreira,BR,-30.18,-50.21,60.44,82,0,16.37,clear sky
7,Neiafu,TO,-18.65,-173.98,78.8,83,20,10.29,few clouds
8,Kapaa,US,22.08,-159.32,86.0,70,40,10.29,scattered clouds
9,Tual,ID,-5.67,132.75,79.03,78,63,17.31,broken clouds
10,Khatanga,RU,71.97,102.5,54.23,69,96,9.1,overcast clouds
11,Longyearbyen,SJ,78.22,15.64,40.8,69,3,6.29,clear sky
12,Hasaki,JP,35.73,140.83,75.2,100,75,6.93,mist
13,Sola,VU,-13.88,167.55,80.98,83,72,9.95,light rain
14,Cherskiy,RU,68.75,161.3,38.21,93,100,11.56,light rain
15,Fengzhen,CN,40.44,113.15,54.86,86,31,5.73,scattered clouds
16,Bilma,NE,18.69,12.92,92.08,37,12,11.52,moderate rain
17,Bluff,NZ,-46.6,168.33,44.01,94,45,1.99,scattered clouds
18,Kalianget,ID,-7.05,113.93,78.49,81,7,12.8,clear sky
19,San Cristobal,VE,7.77,-72.22,87.8,45,40,19.46,scattered clouds
20,Puerto Escondido,MX,15.85,-97.07,80.6,74,90,5.82,moderate rain
21,Caravelas,BR,-17.71,-39.25,68.38,85,100,13.65,light rain
22,Rikitea,PF,-23.12,-134.97,70.21,84,69,21.14,broken clouds
23,Thinadhoo,MV,0.53,72.93,83.21,74,73,10.22,broken clouds
24,Saint-Philippe,RE,-21.36,55.77,69.8,77,36,5.82,scattered clouds
25,Dese,ET,11.13,39.63,54.34,92,57,2.39,moderate rain
26,Port Alfred,ZA,-33.59,26.89,57.67,83,35,9.28,scattered clouds
27,Palmer,US,42.16,-72.33,90.0,40,75,6.93,broken clouds
28,Busselton,AU,-33.65,115.33,42.01,81,0,3.83,clear sky
29,Korla,CN,41.76,86.15,76.82,33,0,3.02,clear sky
30,Tamiahua,MX,21.27,-97.45,88.03,57,78,12.26,broken clouds
31,Jumla,NP,29.27,82.18,61.21,71,95,2.35,light rain
32,Airai,TL,-8.93,125.41,56.84,37,63,4.07,broken clouds
33,Baruun-Urt,MN,46.68,113.28,54.97,84,0,3.22,clear sky
34,Port Lincoln,AU,-34.73,135.87,47.3,80,49,3.76,scattered clouds
35,Albany,US,42.6,-73.97,80.01,54,75,11.41,broken clouds
36,Saldanha,ZA,-33.01,17.94,57.2,87,75,8.05,broken clouds
37,Roebourne,AU,-20.78,117.13,74.32,32,72,5.84,broken clouds
38,Arraial Do Cabo,BR,-22.97,-42.03,68.0,68,75,9.17,broken clouds
39,Ushuaia,AR,-54.8,-68.3,35.6,74,40,6.93,scattered clouds
40,Nikolskoye,RU,59.7,30.79,64.4,77,20,4.47,few clouds
41,Punta Arenas,CL,-53.15,-70.92,35.6,74,75,27.51,broken clouds
42,Vao,NC,-22.67,167.48,70.3,78,98,12.03,overcast clouds
43,Ukiah,US,39.15,-123.21,96.01,22,1,8.05,haze
44,Cayenne,GF,4.93,-52.33,78.8,78,13,2.24,few clouds
45,Belmonte,BR,-15.86,-38.88,68.0,88,90,4.7,light rain
46,Igarka,RU,67.47,86.58,54.7,95,100,8.72,light rain
47,Vestmannaeyjar,IS,63.44,-20.27,52.48,75,84,6.67,broken clouds
48,Mount Gambier,AU,-37.83,140.77,37.4,93,75,8.05,broken clouds
49,Kirksville,US,40.19,-92.58,93.99,49,20,6.93,few clouds
50,Hailar,CN,49.2,119.7,57.02,94,100,4.27,overcast clouds
51,Verkhnevilyuysk,RU,63.45,120.32,38.59,85,0,2.66,clear sky
52,Vostok,RU,46.49,135.88,54.01,85,99,3.47,overcast clouds
53,Pisco,PE,-13.7,-76.22,64.0,77,90,6.93,overcast clouds
54,Praia Da Vitoria,PT,38.73,-27.07,78.8,78,20,5.37,few clouds
55,Dudinka,RU,69.41,86.18,57.2,82,100,13.42,light rain
56,Ulladulla,AU,-35.35,150.47,44.6,65,0,10.29,clear sky
57,Sao Filipe,CV,14.9,-24.5,79.7,81,66,6.06,broken clouds
58,New Norfolk,AU,-42.78,147.06,37.99,87,11,1.01,few clouds
59,Ponta Do Sol,PT,32.67,-17.1,72.0,76,0,6.06,clear sky
60,Hobart,AU,-42.88,147.33,39.2,80,40,6.93,scattered clouds
61,Hermanus,ZA,-34.42,19.23,55.99,95,100,6.26,overcast clouds
62,Katsuura,JP,35.13,140.3,77.0,92,100,7.0,overcast clouds
63,Lorengau,PG,-2.02,147.27,79.03,79,100,7.83,moderate rain
64,Cape Town,ZA,-33.93,18.42,59.0,87,40,10.29,scattered clouds
65,Ust-Ordynskiy,RU,52.8,104.75,53.6,100,40,2.24,scattered clouds
66,Chuy,UY,-33.7,-53.46,55.47,81,0,10.63,clear sky
67,Jamestown,US,42.1,-79.24,81.0,61,1,4.7,clear sky
68,Walvis Bay,NA,-22.96,14.51,55.99,87,0,5.82,clear sky
69,Puerto Ayora,EC,-0.74,-90.35,77.0,53,63,17.22,broken clouds
70,Tuktoyaktuk,CA,69.45,-133.04,64.4,63,40,13.87,scattered clouds
71,Poum,NC,-20.23,164.02,72.05,79,16,20.27,few clouds
72,Taby,SE,59.44,18.07,64.4,63,7,8.05,clear sky
73,Chokurdakh,RU,70.63,147.92,34.68,88,100,10.65,overcast clouds
74,Heihe,CN,50.24,127.49,60.8,93,40,4.47,mist
75,Dauriya,RU,49.93,116.87,55.15,90,23,4.43,few clouds
76,Vaini,TO,-21.2,-175.2,77.0,88,20,9.17,few clouds
77,Nikel,RU,69.41,30.22,57.2,93,20,16.11,few clouds
78,Rocha,UY,-34.48,-54.33,54.28,80,0,8.03,clear sky
79,Qaanaaq,GL,77.48,-69.36,36.79,87,100,5.12,overcast clouds
80,Gizo,SB,-8.1,156.84,80.55,79,100,15.26,light rain
81,Puerto Ayacucho,VE,5.66,-67.62,79.05,85,96,3.33,light rain
82,Upernavik,GL,72.79,-56.15,44.13,86,94,5.23,overcast clouds
83,Marrakesh,MA,31.63,-8.01,91.4,24,40,12.75,scattered clouds
84,Narsaq,GL,60.92,-46.05,55.4,62,0,11.41,clear sky
85,Ketchikan,US,55.34,-131.65,59.0,100,90,9.17,light rain
86,Cam Ranh,VN,11.92,109.16,82.4,94,20,2.24,few clouds
87,Floresta,BR,-8.6,-38.57,83.03,43,43,17.81,scattered clouds
88,Saskylakh,RU,71.92,114.08,39.92,86,0,6.76,clear sky
89,Ouesso,CG,1.61,16.05,72.41,91,99,1.97,overcast clouds
90,Victoria,HK,22.29,114.16,84.0,79,1,8.99,clear sky
91,Nieuw Amsterdam,SR,5.88,-55.08,84.2,74,40,9.17,shower rain
92,Tocache,PE,-8.18,-76.51,82.4,54,87,1.57,overcast clouds
93,Orange,US,33.7,-117.77,91.0,58,75,6.93,broken clouds
94,Rincon,US,32.3,-81.24,84.2,66,75,9.17,broken clouds
95,Norman Wells,CA,65.28,-126.83,68.0,52,20,17.22,few clouds
96,Maceio,BR,-9.67,-35.74,77.0,73,20,9.17,few clouds
97,Yellowknife,CA,62.46,-114.35,60.8,51,20,6.93,few clouds
98,Atuona,PF,-9.8,-139.03,78.44,77,1,15.75,clear sky
99,Surt,LY,31.21,16.59,79.32,80,0,8.14,clear sky
100,San Quintin,MX,30.48,-115.95,80.64,55,0,12.1,clear sky
101,Mamakan,RU,57.82,114.0,57.29,80,100,3.18,overcast clouds
102,Barrow,US,71.29,-156.79,41.0,93,90,5.82,mist
103,Havelock,US,34.88,-76.9,82.4,74,90,8.05,light rain
104,Santiago De Cao,PE,-7.96,-79.24,64.27,73,3,11.7,clear sky
105,Bredasdorp,ZA,-34.53,20.04,55.4,93,100,2.24,overcast clouds
106,Thompson,CA,55.74,-97.86,53.6,100,90,5.82,light rain
107,Innisfail,AU,-17.53,146.03,59.79,64,10,5.66,clear sky
108,Bratsk,RU,56.13,101.61,48.2,100,96,2.24,overcast clouds
109,Karratha,AU,-20.74,116.85,72.28,39,81,4.25,broken clouds
110,San Juan,AR,-31.54,-68.54,69.04,21,0,16.33,clear sky
111,Sitka,US,57.05,-135.33,57.2,87,90,3.36,overcast clouds
112,Altay,CN,47.87,88.12,60.01,43,34,4.18,scattered clouds
113,Goderich,CA,43.75,-81.72,84.99,77,0,1.99,clear sky
114,Yangambi,CD,0.81,24.43,68.63,99,100,0.74,overcast clouds
115,Naze,JP,28.37,129.48,80.6,88,99,6.93,moderate rain
116,Hilo,US,19.73,-155.09,82.4,69,90,5.82,overcast clouds
117,Havre-Saint-Pierre,CA,50.23,-63.6,60.8,72,20,13.87,few clouds
118,Yate,GB,51.54,-2.42,61.0,79,92,5.99,overcast clouds
119,Grand-Santi,GF,4.25,-54.38,82.02,68,42,5.48,light rain
120,Kapoeta,SS,4.77,33.59,76.32,71,100,7.85,light rain
121,Weyburn,CA,49.67,-103.85,80.01,25,0,5.99,clear sky
122,Sangar,RU,63.92,127.47,42.08,71,99,4.09,overcast clouds
123,Maniitsoq,GL,65.42,-52.9,45.48,87,46,4.97,scattered clouds
124,Vila Franca Do Campo,PT,37.72,-25.43,73.4,83,20,10.29,few clouds
125,Salalah,OM,17.02,54.09,77.0,94,90,5.82,overcast clouds
126,General Roca,AR,-39.03,-67.58,69.8,35,0,4.36,clear sky
127,Ushtobe,KZ,45.25,77.98,69.17,27,71,4.0,broken clouds
128,Magdagachi,RU,53.45,125.8,57.13,98,100,8.43,moderate rain
129,Port Hedland,AU,-20.32,118.57,59.0,58,0,4.7,clear sky
130,Castro,BR,-24.79,-50.01,51.01,85,20,8.08,few clouds
131,Salina,US,38.84,-97.61,96.8,30,1,9.17,clear sky
132,Kieta,PG,-6.22,155.63,77.49,81,100,5.17,light rain
133,Bengkulu,ID,-3.8,102.27,75.81,86,100,4.29,overcast clouds
134,Kupang,ID,-10.17,123.58,71.29,63,0,5.61,clear sky
135,Avarua,CK,-21.21,-159.78,77.0,69,2,11.41,clear sky
136,Broome,US,42.25,-75.83,84.0,56,31,4.09,scattered clouds
137,Ostrovnoy,RU,68.05,39.51,58.14,90,32,16.96,scattered clouds
138,Myskhako,RU,44.67,37.74,66.2,52,0,11.18,clear sky
139,Hithadhoo,MV,-0.6,73.08,82.54,79,51,13.15,light rain
140,Mahon,ES,39.89,4.27,75.2,69,0,5.82,clear sky
141,Glinka,RU,54.64,32.88,60.51,79,100,9.37,overcast clouds
142,Kavieng,PG,-2.57,150.8,77.72,91,99,15.08,moderate rain
143,Sokolo,ML,14.73,-6.12,84.88,54,50,8.32,scattered clouds
144,Vila Velha,BR,-20.33,-40.29,72.0,64,43,13.87,scattered clouds
145,Kloulklubed,PW,7.04,134.26,80.6,83,75,6.93,broken clouds
146,Shingu,JP,33.73,135.98,74.68,87,2,3.29,clear sky
147,Chengdu,CN,30.67,104.07,75.0,94,40,2.24,thunderstorm with light rain
148,Guerrero Negro,MX,27.98,-114.06,85.95,43,27,19.48,scattered clouds
149,Riyadh,SA,24.69,46.72,96.8,13,58,6.93,broken clouds
150,Shenjiamen,CN,29.96,122.3,80.47,83,0,11.52,clear sky
151,Iqaluit,CA,63.75,-68.51,48.2,76,40,4.7,scattered clouds
152,Sapele,NG,5.89,5.68,75.11,86,100,3.94,overcast clouds
153,Eydhafushi,MV,5.1,73.07,82.38,71,100,3.96,light rain
154,Nanortalik,GL,60.14,-45.24,46.51,79,0,5.53,clear sky
155,Dikson,RU,73.51,80.55,45.21,83,0,10.85,clear sky
156,Ambo,PE,-10.13,-76.2,70.63,40,24,10.29,few clouds
157,Harper,LR,4.38,-7.72,76.71,79,94,9.28,overcast clouds
158,Saint-Michel-Des-Saints,CA,46.68,-73.92,75.0,7,97,2.93,overcast clouds
159,Takoradi,GH,4.88,-1.76,74.23,89,11,7.87,few clouds
160,Mar Del Plata,AR,-38.0,-57.56,61.0,66,0,13.87,clear sky
161,Portage,US,41.17,-81.2,84.99,51,40,5.79,scattered clouds
162,Georgetown,MY,5.41,100.34,80.01,94,20,3.4,few clouds
163,Ulaangom,MN,49.98,92.07,54.84,63,100,2.35,overcast clouds
164,Indramayu,ID,-6.33,108.32,79.3,79,99,8.32,overcast clouds
165,Carlagan,PH,14.97,122.05,80.73,83,100,6.53,overcast clouds
166,Sinnamary,GF,5.38,-52.95,82.2,76,28,10.4,scattered clouds
167,Talnakh,RU,69.49,88.4,57.2,82,100,13.42,overcast clouds
168,Lebu,CL,-37.62,-73.65,51.13,91,100,18.7,light rain
169,Saint George,US,37.1,-113.58,104.0,21,1,5.82,clear sky
170,Tansen,NP,27.87,83.55,64.4,100,96,2.75,overcast clouds
171,Misratah,LY,32.38,15.09,80.44,83,4,11.48,clear sky
172,Youkounkoun,GN,12.53,-13.13,78.37,81,100,1.01,light rain
173,Along,IN,28.17,94.77,72.41,88,82,1.34,broken clouds
174,Cabo San Lucas,MX,22.89,-109.91,91.4,52,40,6.93,scattered clouds
175,Souillac,MU,-20.52,57.52,71.6,73,40,18.34,scattered clouds
176,Tasiilaq,GL,65.61,-37.64,42.8,87,0,6.93,clear sky
177,Buchanan,LR,5.88,-10.05,77.0,94,40,12.55,scattered clouds
178,Margate,GB,51.38,1.39,66.0,78,100,1.99,overcast clouds
179,Derzhavinsk,KZ,51.1,66.32,58.68,72,44,6.87,scattered clouds
180,Suchitoto,SV,13.94,-89.03,73.4,94,40,6.93,scattered clouds
181,Tiksi,RU,71.69,128.87,39.13,80,99,10.27,overcast clouds
182,Aklavik,CA,68.22,-135.01,68.0,52,75,12.75,broken clouds
183,Lincoln,US,40.8,-96.67,97.0,41,1,8.05,clear sky
184,Mount Isa,AU,-20.73,139.5,44.6,45,0,1.12,clear sky
185,San Patricio,MX,19.22,-104.7,89.6,66,40,11.41,scattered clouds
186,Praia,CV,14.92,-23.51,82.4,69,75,6.93,broken clouds
187,Abu Kamal,SY,34.45,40.92,82.24,22,0,13.56,clear sky
188,Lavrentiya,RU,65.58,-171.0,47.21,93,100,4.99,overcast clouds
189,Canandaigua,US,42.87,-77.29,87.01,59,16,1.99,few clouds
190,Chapais,CA,49.78,-74.85,66.2,48,40,5.82,scattered clouds
191,Sao Miguel Do Araguaia,BR,-13.28,-50.16,89.62,28,59,6.96,broken clouds
192,Butaritari,KI,3.07,172.79,82.78,69,97,10.56,overcast clouds
193,Poltavka,RU,54.37,71.76,51.78,94,66,5.61,broken clouds
194,Flinders,AU,-34.58,150.86,48.99,63,0,8.99,clear sky
195,Dukat,RU,62.55,155.55,32.52,96,100,3.67,overcast clouds
196,Lompoc,US,34.64,-120.46,75.2,69,1,6.93,clear sky
197,Pskov,RU,57.81,28.35,62.6,82,100,2.24,overcast clouds
198,Bambous Virieux,MU,-20.34,57.76,71.6,73,40,18.34,scattered clouds
199,Jesup,US,31.61,-81.89,84.2,70,40,12.75,scattered clouds
200,Berbera,SO,10.44,45.01,91.69,42,35,18.14,scattered clouds
201,Lethem,GY,3.38,-59.8,83.8,71,52,3.51,moderate rain
202,Alekseyevsk,RU,57.84,108.35,50.23,84,24,3.96,few clouds
203,Nouadhibou,MR,20.93,-17.03,75.2,78,0,14.99,clear sky
204,Lerwick,GB,60.15,-1.15,50.0,81,95,13.87,overcast clouds
205,Kaeo,NZ,-35.1,173.78,57.0,3,72,11.01,light rain
206,Mocorito,MX,25.48,-107.92,100.0,51,57,5.99,broken clouds
207,Oussouye,SN,12.48,-16.55,79.52,84,99,5.77,overcast clouds
208,Luancheng,CN,37.88,114.65,73.4,88,75,8.95,broken clouds
209,Chupaca,PE,-12.07,-75.28,64.92,35,41,11.41,scattered clouds
210,Kodiak,US,57.79,-152.41,60.8,77,90,3.36,overcast clouds
211,Jalu,LY,29.03,21.55,79.92,53,0,18.68,clear sky
212,Itoman,JP,26.12,127.67,82.4,88,75,32.21,light intensity shower rain
213,Marawi,PH,8.0,124.29,75.0,91,73,4.0,broken clouds
214,Bethel,US,41.37,-73.41,87.01,54,1,10.29,clear sky
215,Port Hardy,CA,50.7,-127.42,55.4,93,75,5.82,broken clouds
216,Maryville,US,35.76,-83.97,86.0,62,40,3.36,scattered clouds
217,Hay River,CA,60.82,-115.8,59.0,67,75,11.41,broken clouds
218,Anapskaya,RU,44.89,37.38,66.2,52,0,11.18,clear sky
219,Luderitz,NA,-26.65,15.16,59.04,71,0,11.23,clear sky
220,Opunake,NZ,-39.46,173.86,53.01,87,69,8.01,light rain
221,Front Royal,US,38.92,-78.19,89.01,61,75,3.36,broken clouds
222,Olafsvik,IS,64.89,-23.71,51.08,71,11,7.34,few clouds
223,Katobu,ID,-4.94,122.53,70.61,93,25,3.27,scattered clouds
224,Labuhan,ID,-6.88,112.21,76.35,83,16,6.46,few clouds
225,Severo-Kurilsk,RU,50.68,156.12,53.28,78,31,0.22,scattered clouds
226,Virginia Beach,US,36.85,-75.98,89.6,49,75,14.99,broken clouds
227,Sabana Grande De Boya,DO,18.95,-69.79,87.8,79,90,6.93,overcast clouds
228,Ribeira Grande,PT,38.52,-28.7,75.2,88,40,8.05,scattered clouds
229,Pacific Grove,US,36.62,-121.92,81.0,60,40,4.7,smoke
230,Kaitangata,NZ,-46.28,169.85,53.01,91,93,15.99,overcast clouds
231,Sokoto,NG,13.06,5.24,80.44,73,98,8.43,moderate rain
232,Juneau,US,58.3,-134.42,57.99,93,90,6.93,moderate rain
233,Bandarbeyla,SO,9.49,50.81,75.87,76,91,31.09,overcast clouds
234,Kysyl-Syr,RU,63.9,122.76,39.27,85,0,5.7,clear sky
235,Gwadar,PK,25.12,62.33,82.08,84,77,8.01,broken clouds
236,Namatanai,PG,-3.67,152.43,79.5,80,97,5.73,light rain
237,Kasongo-Lunda,CD,-6.47,16.82,74.57,79,100,4.88,overcast clouds
238,Mastic Beach,US,40.77,-72.85,82.99,69,1,11.41,clear sky
239,Valparaiso,CL,-33.04,-71.63,57.2,66,59,19.46,broken clouds
240,Atar,MR,20.52,-13.05,101.71,22,20,10.22,few clouds
241,Porbandar,IN,21.64,69.61,81.48,85,100,20.47,light rain
242,Amapa,BR,1.0,-52.0,86.49,56,35,1.5,scattered clouds
243,Aswan,EG,24.09,32.91,87.49,22,0,8.48,clear sky
244,Surab,PK,28.49,66.26,73.47,65,6,3.87,clear sky
245,Fairbanks,US,64.84,-147.72,64.99,68,90,1.5,overcast clouds
246,Xining,CN,36.62,101.77,52.0,81,11,2.28,few clouds
247,Quatre Cocos,MU,-20.21,57.76,71.6,73,40,18.34,scattered clouds
248,Komsomolskiy,UZ,40.43,71.72,75.2,38,0,6.93,clear sky
249,Antalaha,MG,-14.9,50.28,67.33,85,63,7.72,broken clouds
250,East London,ZA,-33.02,27.91,60.82,75,4,6.58,clear sky
251,Faanui,PF,-16.48,-151.75,76.64,78,16,19.53,few clouds
252,Urucara,BR,-2.54,-57.76,90.32,38,78,1.48,broken clouds
253,Geraldton,AU,-28.77,114.6,46.4,93,0,9.17,clear sky
254,Aktash,RU,50.3,87.73,36.81,84,96,3.11,overcast clouds
255,Itaituba,BR,-4.28,-55.98,95.38,30,74,2.71,broken clouds
256,Rio Grande,BR,-32.03,-52.1,66.2,63,0,23.04,clear sky
257,Outjo,NA,-20.12,16.15,58.28,36,0,1.66,clear sky
258,Zyryanka,RU,65.75,150.85,38.82,82,99,9.57,overcast clouds
259,Itarema,BR,-2.92,-39.92,78.15,75,19,17.67,few clouds
260,Ballina,AU,-28.87,153.57,51.01,59,0,8.05,clear sky
261,Marion,US,39.77,-86.16,87.01,51,40,9.17,scattered clouds
262,Makakilo City,US,21.35,-158.09,86.0,58,75,8.05,broken clouds
263,Coquimbo,CL,-29.95,-71.34,57.2,58,75,12.75,broken clouds
264,Sampit,ID,-2.53,112.95,73.27,92,0,0.96,clear sky
265,Novyy Urengoy,RU,66.08,76.63,54.73,87,99,8.43,light rain
266,Kankan,GN,10.39,-9.31,73.04,92,81,4.41,moderate rain
267,Morant Bay,JM,17.88,-76.41,89.6,70,75,12.75,broken clouds
268,Susanville,US,40.42,-120.65,86.0,17,1,3.36,haze
269,Huoqiu,CN,32.34,116.27,77.41,90,0,4.88,clear sky
270,Piopio,NZ,-38.47,175.02,57.0,84,100,8.99,moderate rain
271,Powell River,CA,49.85,-124.54,64.4,72,75,8.05,broken clouds
272,Srednekolymsk,RU,67.45,153.68,36.97,81,100,9.91,overcast clouds
273,Rockhampton,AU,-23.38,150.5,42.8,75,0,2.1,clear sky
274,Cintalapa,MX,16.7,-93.73,76.8,90,65,1.54,moderate rain
275,Oberwart,AT,47.29,16.21,68.0,17,100,3.11,light rain
276,Fare,PF,-16.7,-151.02,77.4,76,0,19.1,clear sky
277,Slave Lake,CA,55.28,-114.77,64.4,55,90,11.41,overcast clouds
278,Divnoye,RU,45.91,43.35,61.61,48,2,6.13,clear sky
279,Deputatskiy,RU,69.3,139.9,31.57,98,100,3.44,overcast clouds
280,Zhuanghe,CN,39.7,122.99,78.01,91,100,3.0,light rain
281,Chalons-En-Champagne,FR,48.95,4.37,64.4,67,31,2.24,scattered clouds
282,Namibe,AO,-15.2,12.15,67.33,84,87,1.21,overcast clouds
283,Alikovo,RU,55.74,46.75,60.8,72,16,6.71,few clouds
284,Luanda,AO,-8.84,13.23,69.8,94,40,2.24,scattered clouds
285,Eureka,US,40.8,-124.16,70.0,79,6,4.0,clear sky
286,Menongue,AO,-14.66,17.69,58.32,37,69,1.32,broken clouds
287,Nahrin,AF,36.06,69.13,72.59,21,0,4.74,clear sky
288,Esperance,AU,-33.87,121.9,48.2,100,40,8.05,scattered clouds
289,Vanimo,PG,-2.67,141.3,77.04,82,100,2.75,moderate rain
290,Port Lavaca,US,28.61,-96.63,93.99,52,40,17.22,scattered clouds
291,Alyangula,AU,-13.85,136.42,53.6,93,0,2.24,clear sky
292,Isangel,VU,-19.55,169.27,79.48,81,16,4.92,few clouds
293,Cockburn Town,TC,21.46,-71.14,84.24,81,100,25.75,overcast clouds
294,Verkhovazhye,RU,60.75,42.05,60.39,81,100,6.53,overcast clouds
295,Pangnirtung,CA,66.15,-65.71,44.6,87,75,5.82,fog
296,Danville,US,36.59,-79.39,84.99,62,20,11.41,few clouds
297,Seminole,US,28.71,-81.21,91.99,55,1,17.22,clear sky
298,Moncton,CA,46.12,-64.8,82.4,26,75,20.8,broken clouds
299,Cabanas,CU,22.98,-82.92,93.2,56,40,6.93,scattered clouds
300,Lensk,RU,60.73,114.93,42.71,66,0,5.39,clear sky
301,Suntar,RU,62.14,117.63,40.17,77,0,3.38,clear sky
302,Saint-Louis,SN,16.33,-15.0,87.76,54,96,17.34,overcast clouds
303,Clarence Town,AU,-32.58,151.78,50.0,66,0,19.46,clear sky
304,Lasa,IT,46.62,10.7,60.8,72,5,3.36,clear sky
305,Ahipara,NZ,-35.17,173.17,56.68,80,91,18.14,light rain
306,Ust-Nera,RU,64.57,143.2,39.63,67,99,6.46,overcast clouds
307,La Asuncion,VE,11.03,-63.86,86.0,66,41,5.82,light rain
308,Fortuna,US,40.6,-124.16,66.99,77,20,13.87,few clouds
309,Lucea,JM,18.45,-78.17,88.0,74,20,11.41,few clouds
310,Pangody,RU,65.85,74.49,52.79,90,85,8.84,overcast clouds
311,Egvekinot,RU,66.32,-179.17,48.06,89,97,2.19,light rain
312,Grindavik,IS,63.84,-22.43,51.8,76,44,6.93,scattered clouds
313,Lata,PT,40.16,-8.33,68.0,89,0,1.99,clear sky
314,Saint-Augustin,CA,51.23,-58.65,63.39,71,68,7.16,moderate rain
315,Kavaratti,IN,10.57,72.64,81.75,82,88,13.94,light rain
316,Strzelce Krajenskie,PL,52.88,15.53,61.0,81,14,1.01,few clouds
317,Verkhniy Lomov,RU,53.47,43.55,56.7,69,0,3.38,clear sky
318,Saint-Pierre,RE,-21.34,55.48,66.2,77,3,5.82,clear sky
319,Asau,RO,46.43,26.4,62.01,95,1,2.91,clear sky
320,Monthey,CH,46.26,6.96,69.8,49,21,11.41,few clouds
321,Mahebourg,MU,-20.41,57.7,71.6,73,40,18.34,scattered clouds
322,Burriana,ES,39.89,-0.09,80.01,76,46,2.15,scattered clouds
323,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.4,73,75,21.92,broken clouds
324,Ust-Maya,RU,60.42,134.53,42.13,70,45,0.43,scattered clouds
325,Avare,BR,-23.1,-48.93,59.02,67,0,10.22,clear sky
326,Nara,JP,34.69,135.8,81.0,88,40,4.7,scattered clouds
327,Polyarnyy,RU,69.2,33.45,59.0,93,75,2.24,light intensity shower rain
328,Mende,FR,44.67,3.5,48.43,93,21,6.46,few clouds
329,Westport,US,41.14,-73.36,84.99,62,1,13.87,clear sky
330,Nalut,LY,30.33,10.85,83.16,30,0,14.88,clear sky
331,Gopalganj,IN,26.47,84.43,82.81,74,3,3.13,clear sky
332,Provideniya,RU,64.38,-173.3,51.8,76,90,2.24,light intensity drizzle
333,Pasighat,IN,28.07,95.33,76.57,82,79,2.64,broken clouds
334,Plettenberg Bay,ZA,-34.05,23.37,57.36,77,100,6.31,overcast clouds
335,San Sebastian Coatan,GT,15.74,-91.57,61.21,93,95,2.19,heavy intensity rain
336,Hamilton,US,39.18,-84.53,88.0,65,40,3.31,light rain
337,Atambua,ID,-9.11,124.89,66.45,57,1,4.88,clear sky
338,Hobyo,SO,5.35,48.53,75.78,78,43,25.03,scattered clouds
339,Alta Floresta,BR,-9.88,-56.09,95.0,26,0,3.36,clear sky
340,Kapuskasing,CA,49.42,-82.43,73.4,56,40,4.7,scattered clouds
